IA_LABEL;IA_FIXATION_COUNT;GROUP
class_definition;21;expert
class_definition;49;expert
class_definition;8;expert
class_definition;8;expert
ac_instance_variable;13;expert
ac_constructor;44;expert
ac_method_signature;21;expert
ac_method_signature;17;expert
ac_method_signature;9;expert
ac_method_signature;11;expert
ac_method_signature;8;expert
as_method_signature;6;expert
as_method_signature;15;expert
as_method_signature;47;expert
as_method_signature;13;expert
as_method_signature;0;expert
u_method_signature;7;expert
u_method_signature;4;expert
u_method_signature;9;expert
u_method_signature;1;expert
u_method_signature;9;expert
ur_method_signature;40;expert
ur_method_signature;11;expert
ur_method_signature;11;expert
ur_method_signature;49;expert
ur_method_signature;6;expert
ur_method_signature;12;expert
method_call_ac_as;37;expert
error_method_call_ac_as;11;expert
method_call_ac_as;8;expert
method_call_ac_as;14;expert
method_call_ac_as;8;expert
method_call_as_ur;4;expert
method_call_as_ur;16;expert
method_call_as_ur;7;expert
method_call_as_ur;42;expert
method_call_as_ur;21;expert
method_call_as_ur;3;expert
error;3;expert
error;7;expert
as_instance_variable;62;expert
as_constructor;24;expert
control_flow;24;expert
control_flow;6;expert
control_flow;12;expert
control_flow;28;expert
control_flow;19;expert
control_flow;24;expert
control_flow;46;expert
control_flow;1;expert
u_instance_variable;2;expert
u_constructor;5;expert
ur_instance_variable;21;expert
ur_constructor;34;expert
u_method_body;11;expert
u_method_body;2;expert
u_method_body;14;expert
u_method_body;5;expert
u_method_body;2;expert
as_method_body;7;expert
as_method_body;44;expert
as_method_body;165;expert
as_method_body;65;expert
as_method_body;13;expert
as_method_body;16;expert
u_constructor;4;expert
class_definition;13;expert
class_definition;1;expert
class_definition;1;expert
class_definition;1;expert
class_definition;2;expert
class_definition;1;expert
ac_instance_variable;7;expert
ac_instance_variable;5;expert
ac_constructor;6;expert
ac_constructor;19;expert
ac_method_signature;11;expert
ac_method_signature;6;expert
ac_method_signature;5;expert
ac_method_signature;3;expert
ac_method_signature;10;expert
ac_method_signature;3;expert
ac_method_signature;5;expert
ac_method_signature;1;expert
as_method_signature;9;expert
as_method_signature;5;expert
as_method_signature;1;expert
as_method_signature;9;expert
as_method_signature;30;expert
as_method_signature;1;expert
as_method_signature;1;expert
as_method_signature;1;expert
as_method_signature;2;expert
as_method_signature;9;expert
as_method_signature;16;expert
as_method_signature;10;expert
as_method_signature;5;expert
as_method_signature;3;expert
u_method_signature;1;expert
u_method_signature;4;expert
u_method_signature;1;expert
u_method_signature;1;expert
u_method_signature;3;expert
u_method_signature;1;expert
u_method_signature;1;expert
u_method_signature;1;expert
u_method_signature;4;expert
u_method_signature;2;expert
u_method_signature;1;expert
ur_method_signature;5;expert
ur_method_signature;3;expert
ur_method_signature;1;expert
ur_method_signature;2;expert
ur_method_signature;2;expert
ur_method_signature;9;expert
ur_method_signature;3;expert
ur_method_signature;16;expert
ur_method_signature;2;expert
ur_method_signature;1;expert
ur_method_signature;6;expert
ur_method_signature;11;expert
method_call_ac_as;6;expert
method_call_ac_as;2;expert
error_method_call_ac_as;2;expert
method_call_ac_as;2;expert
method_call_ac_as;4;expert
method_call_ac_as;2;expert
method_call_ac_as;1;expert
method_call_as_ur;10;expert
method_call_as_ur;14;expert
method_call_as_ur;7;expert
method_call_as_ur;25;expert
method_call_as_ur;10;expert
method_call_as_ur;15;expert
method_call_as_ur;2;expert
method_call_as_ur;13;expert
method_call_as_ur;4;expert
method_call_as_ur;5;expert
method_call_as_ur;8;expert
method_call_as_ur;14;expert
method_call_as_ur;1;expert
method_call_as_ur;33;expert
method_call_as_ur;7;expert
method_call_as_ur;10;expert
method_call_as_ur;6;expert
ur_method_body;40;expert
ur_method_body;36;expert
ur_method_body;6;expert
ur_method_body;5;expert
ur_method_body;3;expert
ur_method_body;70;expert
error;1;expert
error;1;expert
error;4;expert
error;8;expert
error;4;expert
as_instance_variable;3;expert
as_instance_variable;2;expert
as_constructor;4;expert
as_constructor;6;expert
as_constructor;4;expert
control_flow;10;expert
control_flow;2;expert
control_flow;10;expert
control_flow;10;expert
control_flow;1;expert
control_flow;1;expert
control_flow;12;expert
control_flow;4;expert
control_flow;3;expert
control_flow;1;expert
control_flow;7;expert
control_flow;1;expert
control_flow;6;expert
control_flow;2;expert
control_flow;12;expert
control_flow;25;expert
control_flow;5;expert
control_flow;13;expert
control_flow;3;expert
u_constructor;3;expert
u_constructor;15;expert
u_constructor;1;expert
ur_instance_variable;1;expert
ur_instance_variable;1;expert
ur_constructor;10;expert
u_method_body;1;expert
u_method_body;4;expert
u_method_body;2;expert
u_method_body;1;expert
u_method_body;6;expert
u_method_body;1;expert
u_method_body;2;expert
u_method_body;4;expert
as_method_body;6;expert
as_method_body;3;expert
as_method_body;1;expert
as_method_body;21;expert
as_method_body;25;expert
as_method_body;4;expert
as_method_body;46;expert
as_method_body;3;expert
as_method_body;74;expert
as_method_body;83;expert
as_method_body;9;expert
as_method_body;73;expert
as_method_body;1;expert
as_method_body;27;expert
as_method_body;46;expert
as_method_body;1;expert
class_definition;2;expert
class_definition;2;expert
class_definition;1;expert
class_definition;1;expert
class_definition;3;expert
class_definition;1;expert
class_definition;5;expert
class_definition;2;expert
class_definition;13;expert
ac_instance_variable;1;expert
ac_instance_variable;4;expert
ac_constructor;47;expert
ac_constructor;5;expert
ac_method_signature;1;expert
ac_method_signature;5;expert
ac_method_signature;4;expert
ac_method_signature;1;expert
ac_method_signature;23;expert
ac_method_signature;18;expert
ac_method_signature;4;expert
ac_method_signature;2;expert
ac_method_signature;50;expert
ac_method_signature;1;expert
ac_method_signature;1;expert
ac_method_signature;1;expert
ac_method_signature;2;expert
as_method_signature;7;expert
as_method_signature;14;expert
as_method_signature;17;expert
as_method_signature;4;expert
as_method_signature;27;expert
as_method_signature;2;expert
as_method_signature;3;expert
as_method_signature;16;expert
as_method_signature;13;expert
as_method_signature;65;expert
as_method_signature;1;expert
as_method_signature;1;expert
u_method_signature;4;expert
u_method_signature;1;expert
u_method_signature;1;expert
u_method_signature;1;expert
u_method_signature;1;expert
u_method_signature;2;expert
ur_method_signature;6;expert
ur_method_signature;11;expert
ur_method_signature;1;expert
ur_method_signature;8;expert
ur_method_signature;2;expert
ur_method_signature;17;expert
ur_method_signature;3;expert
ur_method_signature;194;expert
ur_method_signature;3;expert
ur_method_signature;30;expert
ur_method_signature;3;expert
ur_method_signature;10;expert
method_call_ac_as;1;expert
method_call_ac_as;18;expert
method_call_ac_as;18;expert
error_method_call_ac_as;21;expert
error_method_call_ac_as;28;expert
error_method_call_ac_as;10;expert
method_call_ac_as;35;expert
method_call_ac_as;29;expert
method_call_ac_as;12;expert
method_call_ac_as;43;expert
method_call_ac_as;4;expert
method_call_ac_as;12;expert
method_call_ac_as;3;expert
method_call_ac_as;9;expert
method_call_as_ur;1;expert
method_call_as_ur;32;expert
method_call_as_ur;12;expert
method_call_as_ur;15;expert
method_call_as_ur;2;expert
method_call_as_ur;61;expert
method_call_as_ur;15;expert
method_call_as_ur;3;expert
method_call_as_ur;7;expert
method_call_as_ur;38;expert
method_call_as_ur;5;expert
method_call_as_ur;132;expert
method_call_as_ur;9;expert
method_call_as_ur;11;expert
method_call_as_ur;6;expert
method_call_as_ur;12;expert
error;1;expert
error;20;expert
error;32;expert
error;5;expert
as_instance_variable;1;expert
as_instance_variable;1;expert
as_instance_variable;10;expert
as_instance_variable;1;expert
as_constructor;5;expert
as_constructor;4;expert
as_constructor;30;expert
as_constructor;9;expert
control_flow;6;expert
control_flow;37;expert
control_flow;39;expert
control_flow;2;expert
control_flow;9;expert
control_flow;101;expert
control_flow;4;expert
control_flow;10;expert
control_flow;6;expert
control_flow;10;expert
control_flow;23;expert
control_flow;2;expert
control_flow;67;expert
control_flow;1;expert
control_flow;25;expert
control_flow;12;expert
control_flow;65;expert
u_instance_variable;8;expert
u_instance_variable;1;expert
u_instance_variable;10;expert
u_constructor;13;expert
u_constructor;4;expert
u_constructor;14;expert
ur_instance_variable;3;expert
ur_instance_variable;8;expert
ur_constructor;22;expert
ur_constructor;5;expert
u_method_body;1;expert
u_method_body;2;expert
u_method_body;2;expert
u_method_body;2;expert
as_method_body;1;expert
as_method_body;21;expert
as_method_body;66;expert
class_definition;3;expert
class_definition;1;expert
class_definition;12;expert
class_definition;1;expert
class_definition;1;expert
class_definition;2;expert
class_definition;3;expert
ac_instance_variable;6;expert
ac_instance_variable;6;expert
ac_instance_variable;9;expert
ac_constructor;18;expert
ac_constructor;1;expert
ac_constructor;20;expert
ac_method_signature;1;expert
ac_method_signature;4;expert
ac_method_signature;1;expert
ac_method_signature;4;expert
ac_method_signature;1;expert
ac_method_signature;5;expert
ac_method_signature;1;expert
ac_method_signature;2;expert
ac_method_signature;2;expert
as_method_signature;2;expert
as_method_signature;1;expert
as_method_signature;1;expert
as_method_signature;1;expert
as_method_signature;4;expert
as_method_signature;2;expert
as_method_signature;3;expert
as_method_signature;5;expert
u_method_signature;1;expert
u_method_signature;1;expert
u_method_signature;2;expert
u_method_signature;1;expert
u_method_signature;2;expert
ur_method_signature;7;expert
ur_method_signature;3;expert
ur_method_signature;3;expert
ur_method_signature;1;expert
ur_method_signature;4;expert
ur_method_signature;19;expert
ur_method_signature;4;expert
ur_method_signature;6;expert
ur_method_signature;1;expert
ur_method_signature;24;expert
method_call_ac_as;5;expert
method_call_ac_as;7;expert
error_method_call_ac_as;4;expert
error_method_call_ac_as;6;expert
method_call_ac_as;14;expert
method_call_ac_as;2;expert
method_call_ac_as;7;expert
method_call_ac_as;5;expert
method_call_ac_as;13;expert
method_call_ac_as;4;expert
method_call_as_ur;13;expert
method_call_as_ur;5;expert
method_call_as_ur;31;expert
method_call_as_ur;10;expert
method_call_as_ur;7;expert
method_call_as_ur;2;expert
method_call_as_ur;43;expert
method_call_as_ur;1;expert
method_call_as_ur;3;expert
method_call_as_ur;3;expert
method_call_as_ur;12;expert
error;1;expert
error;1;expert
error;24;expert
error;6;expert
as_instance_variable;1;expert
as_instance_variable;5;expert
as_constructor;6;expert
as_constructor;5;expert
control_flow;19;expert
control_flow;5;expert
control_flow;15;expert
control_flow;5;expert
control_flow;4;expert
control_flow;2;expert
control_flow;3;expert
control_flow;15;expert
control_flow;6;expert
control_flow;41;expert
control_flow;17;expert
control_flow;4;expert
control_flow;8;expert
u_instance_variable;1;expert
u_constructor;2;expert
u_constructor;5;expert
ur_constructor;3;expert
u_method_body;1;expert
u_method_body;2;expert
u_method_body;3;expert
u_method_body;4;expert
u_method_body;6;expert
u_method_body;2;expert
u_method_body;4;expert
u_method_body;2;expert
u_method_body;1;expert
as_method_body;18;expert
as_method_body;10;expert
as_method_body;173;expert
as_method_body;39;expert
as_method_body;4;expert
as_method_body;91;expert
as_method_body;5;expert
as_method_body;15;expert
as_method_body;53;expert
class_definition;1;expert
class_definition;1;expert
class_definition;2;expert
class_definition;7;expert
class_definition;8;expert
class_definition;1;expert
class_definition;3;expert
ac_instance_variable;9;expert
ac_constructor;1;expert
ac_constructor;13;expert
ac_constructor;50;expert
ac_method_signature;7;expert
ac_method_signature;1;expert
ac_method_signature;6;expert
ac_method_signature;8;expert
ac_method_signature;1;expert
ac_method_signature;4;expert
ac_method_signature;2;expert
as_method_signature;8;expert
as_method_signature;3;expert
as_method_signature;13;expert
as_method_signature;18;expert
as_method_signature;1;expert
as_method_signature;10;expert
as_method_signature;31;expert
u_method_signature;1;expert
u_method_signature;1;expert
u_method_signature;7;expert
u_method_signature;6;expert
u_method_signature;4;expert
u_method_signature;3;expert
u_method_signature;4;expert
u_method_signature;3;expert
u_method_signature;3;expert
u_method_signature;5;expert
u_method_signature;8;expert
ur_method_signature;2;expert
ur_method_signature;2;expert
ur_method_signature;14;expert
ur_method_signature;24;expert
ur_method_signature;1;expert
ur_method_signature;2;expert
ur_method_signature;68;expert
ur_method_signature;1;expert
ur_method_signature;1;expert
ur_method_signature;20;expert
ur_method_signature;16;expert
ur_method_signature;6;expert
ur_method_signature;3;expert
ur_method_signature;16;expert
ur_method_signature;1;expert
ur_method_signature;1;expert
ur_method_signature;3;expert
ur_method_signature;1;expert
ur_method_signature;30;expert
ur_method_signature;40;expert
ur_method_signature;13;expert
ur_method_signature;31;expert
ur_method_signature;14;expert
ur_method_signature;2;expert
ur_method_signature;2;expert
method_call_ac_as;17;expert
method_call_ac_as;4;expert
error_method_call_ac_as;2;expert
error_method_call_ac_as;7;expert
method_call_ac_as;1;expert
method_call_ac_as;12;expert
method_call_ac_as;10;expert
method_call_ac_as;5;expert
method_call_ac_as;2;expert
method_call_as_ur;19;expert
method_call_as_ur;31;expert
method_call_as_ur;1;expert
method_call_as_ur;6;expert
method_call_as_ur;1;expert
method_call_as_ur;2;expert
method_call_as_ur;4;expert
method_call_as_ur;21;expert
method_call_as_ur;6;expert
method_call_as_ur;1;expert
method_call_as_ur;3;expert
ur_method_body;5;expert
ur_method_body;13;expert
ur_method_body;1;expert
ur_method_body;2;expert
ur_method_body;28;expert
ur_method_body;68;expert
ur_method_body;44;expert
ur_method_body;66;expert
ur_method_body;7;expert
ur_method_body;7;expert
ur_method_body;140;expert
error;2;expert
error;25;expert
error;4;expert
as_instance_variable;1;expert
as_instance_variable;2;expert
as_constructor;2;expert
as_constructor;12;expert
as_constructor;29;expert
control_flow;3;expert
control_flow;13;expert
control_flow;3;expert
control_flow;8;expert
control_flow;8;expert
control_flow;2;expert
control_flow;1;expert
control_flow;6;expert
control_flow;1;expert
control_flow;4;expert
control_flow;5;expert
control_flow;3;expert
control_flow;3;expert
control_flow;8;expert
control_flow;9;expert
control_flow;3;expert
u_instance_variable;25;expert
u_instance_variable;3;expert
u_instance_variable;18;expert
u_instance_variable;11;expert
u_constructor;56;expert
u_constructor;9;expert
u_constructor;30;expert
u_constructor;1;expert
ur_instance_variable;2;expert
ur_instance_variable;1;expert
ur_instance_variable;1;expert
ur_instance_variable;2;expert
ur_constructor;4;expert
ur_constructor;2;expert
ur_constructor;6;expert
ur_constructor;33;expert
u_method_body;20;expert
u_method_body;1;expert
u_method_body;2;expert
u_method_body;2;expert
u_method_body;19;expert
u_method_body;5;expert
u_method_body;27;expert
u_method_body;3;expert
u_method_body;16;expert
u_method_body;3;expert
u_method_body;1;expert
u_method_body;8;expert
u_method_body;4;expert
u_method_body;21;expert
u_method_body;1;expert
as_method_body;2;expert
as_method_body;2;expert
as_method_body;24;expert
as_method_body;118;expert
as_method_body;2;expert
as_method_body;24;expert
as_method_body;1;expert
as_method_body;1;expert
as_method_body;2;expert
as_method_body;1;expert
as_method_body;21;expert
as_method_body;1;expert
as_method_body;2;expert
as_method_body;3;expert
as_method_body;28;expert
as_method_body;44;expert
as_method_body;1;expert
as_method_body;2;expert
as_method_body;63;expert
control_flow;6;expert
control_flow;1;expert
control_flow;2;expert
u_instance_variable;2;expert
class_definition;1;expert
class_definition;7;expert
class_definition;1;expert
class_definition;1;expert
class_definition;5;expert
class_definition;13;expert
class_definition;2;expert
class_definition;1;expert
class_definition;1;expert
class_definition;3;expert
class_definition;2;expert
class_definition;1;expert
ac_instance_variable;1;expert
ac_instance_variable;1;expert
ac_instance_variable;1;expert
ac_instance_variable;5;expert
ac_instance_variable;17;expert
ac_instance_variable;11;expert
ac_instance_variable;1;expert
ac_constructor;1;expert
ac_constructor;2;expert
ac_constructor;1;expert
ac_constructor;11;expert
ac_constructor;2;expert
ac_constructor;72;expert
ac_constructor;22;expert
ac_constructor;21;expert
ac_constructor;1;expert
ac_method_signature;1;expert
ac_method_signature;1;expert
ac_method_signature;1;expert
ac_method_signature;5;expert
ac_method_signature;1;expert
ac_method_signature;1;expert
ac_method_signature;6;expert
ac_method_signature;1;expert
ac_method_signature;1;expert
ac_method_signature;3;expert
ac_method_signature;3;expert
ac_method_signature;10;expert
ac_method_signature;2;expert
ac_method_signature;3;expert
ac_method_signature;5;expert
ac_method_signature;3;expert
ac_method_signature;1;expert
ac_method_signature;2;expert
ac_method_signature;1;expert
ac_method_signature;3;expert
ac_method_signature;1;expert
ac_method_signature;3;expert
ac_method_signature;1;expert
ac_method_signature;2;expert
ac_method_signature;4;expert
ac_method_signature;12;expert
ac_method_signature;1;expert
ac_method_signature;1;expert
ac_method_signature;1;expert
ac_method_signature;9;expert
ac_method_signature;1;expert
ac_method_signature;1;expert
ac_method_signature;1;expert
ac_method_signature;5;expert
ac_method_signature;2;expert
as_method_signature;1;expert
as_method_signature;3;expert
as_method_signature;15;expert
as_method_signature;1;expert
as_method_signature;1;expert
as_method_signature;1;expert
as_method_signature;1;expert
as_method_signature;3;expert
as_method_signature;8;expert
as_method_signature;1;expert
as_method_signature;1;expert
as_method_signature;12;expert
as_method_signature;3;expert
as_method_signature;1;expert
as_method_signature;1;expert
as_method_signature;1;expert
as_method_signature;26;expert
as_method_signature;1;expert
as_method_signature;4;expert
as_method_signature;8;expert
as_method_signature;1;expert
as_method_signature;1;expert
as_method_signature;3;expert
as_method_signature;2;expert
as_method_signature;2;expert
as_method_signature;1;expert
as_method_signature;1;expert
as_method_signature;3;expert
as_method_signature;1;expert
as_method_signature;2;expert
as_method_signature;4;expert
u_method_signature;1;expert
u_method_signature;1;expert
u_method_signature;1;expert
u_method_signature;1;expert
u_method_signature;1;expert
u_method_signature;1;expert
u_method_signature;1;expert
ur_method_signature;1;expert
ur_method_signature;1;expert
ur_method_signature;5;expert
ur_method_signature;1;expert
ur_method_signature;2;expert
ur_method_signature;2;expert
ur_method_signature;6;expert
ur_method_signature;1;expert
ur_method_signature;3;expert
ur_method_signature;3;expert
ur_method_signature;4;expert
ur_method_signature;2;expert
ur_method_signature;1;expert
ur_method_signature;2;expert
ur_method_signature;37;expert
ur_method_signature;2;expert
ur_method_signature;2;expert
ur_method_signature;2;expert
ur_method_signature;1;expert
ur_method_signature;26;expert
method_call_ac_as;1;expert
method_call_ac_as;1;expert
method_call_ac_as;1;expert
method_call_ac_as;1;expert
method_call_ac_as;1;expert
method_call_ac_as;7;expert
error_method_call_ac_as;1;expert
error_method_call_ac_as;2;expert
error_method_call_ac_as;2;expert
error_method_call_ac_as;4;expert
error_method_call_ac_as;2;expert
error_method_call_ac_as;2;expert
error_method_call_ac_as;4;expert
error_method_call_ac_as;2;expert
error_method_call_ac_as;11;expert
method_call_ac_as;3;expert
method_call_ac_as;1;expert
method_call_ac_as;1;expert
method_call_ac_as;2;expert
method_call_ac_as;3;expert
method_call_ac_as;2;expert
method_call_ac_as;1;expert
method_call_ac_as;2;expert
method_call_ac_as;10;expert
method_call_ac_as;1;expert
method_call_ac_as;2;expert
method_call_ac_as;1;expert
method_call_ac_as;2;expert
method_call_ac_as;5;expert
method_call_ac_as;1;expert
method_call_ac_as;15;expert
method_call_ac_as;1;expert
method_call_ac_as;2;expert
method_call_ac_as;2;expert
method_call_ac_as;3;expert
method_call_ac_as;2;expert
method_call_as_ur;4;expert
method_call_as_ur;1;expert
method_call_as_ur;5;expert
method_call_as_ur;1;expert
method_call_as_ur;2;expert
method_call_as_ur;12;expert
method_call_as_ur;1;expert
method_call_as_ur;3;expert
method_call_as_ur;1;expert
method_call_as_ur;20;expert
method_call_as_ur;5;expert
method_call_as_ur;2;expert
method_call_as_ur;3;expert
method_call_as_ur;9;expert
method_call_as_ur;2;expert
method_call_as_ur;1;expert
method_call_as_ur;1;expert
method_call_as_ur;1;expert
method_call_as_ur;11;expert
method_call_as_ur;1;expert
method_call_as_ur;35;expert
method_call_as_ur;1;expert
method_call_as_ur;19;expert
method_call_as_ur;5;expert
method_call_as_ur;6;expert
method_call_as_ur;2;expert
method_call_as_ur;1;expert
method_call_as_ur;3;expert
method_call_as_ur;1;expert
ur_method_body;1;expert
ur_method_body;1;expert
ur_method_body;3;expert
ur_method_body;2;expert
error;6;expert
error;2;expert
error;1;expert
error;2;expert
error;1;expert
error;6;expert
error;1;expert
error;3;expert
error;1;expert
error;1;expert
error;1;expert
error;3;expert
error;1;expert
error;6;expert
error;2;expert
as_instance_variable;1;expert
as_instance_variable;3;expert
as_instance_variable;4;expert
as_constructor;1;expert
as_constructor;1;expert
as_constructor;1;expert
as_constructor;5;expert
as_constructor;1;expert
as_constructor;1;expert
as_constructor;1;expert
as_constructor;1;expert
as_constructor;1;expert
as_constructor;1;expert
as_constructor;13;expert
as_constructor;2;expert
as_constructor;3;expert
as_constructor;1;expert
control_flow;1;expert
control_flow;1;expert
control_flow;2;expert
control_flow;1;expert
control_flow;6;expert
control_flow;2;expert
control_flow;1;expert
control_flow;1;expert
control_flow;1;expert
control_flow;32;expert
control_flow;12;expert
control_flow;2;expert
control_flow;2;expert
control_flow;2;expert
control_flow;10;expert
control_flow;3;expert
control_flow;1;expert
control_flow;3;expert
control_flow;2;expert
control_flow;1;expert
control_flow;4;expert
control_flow;1;expert
control_flow;3;expert
control_flow;2;expert
control_flow;2;expert
control_flow;7;expert
control_flow;3;expert
control_flow;4;expert
control_flow;2;expert
control_flow;4;expert
control_flow;21;expert
control_flow;4;expert
u_instance_variable;4;expert
u_instance_variable;1;expert
u_instance_variable;2;expert
u_constructor;1;expert
u_constructor;1;expert
u_constructor;5;expert
